title,description,link,keyword,pubDate,loadDate,hostname
'억'소리 나는 보이스피싱 기승…예방·대처 이렇게,"보이스피싱 <b>범죄</b>가 기승을 부리고 있습니다. 검찰 등을 사칭하는 기관사칭형 <b>범죄</b>는 매일 30건 넘는 꼴로... &lt;김호빈/<b>금융</b>감독원 <b>금융사기</b>대응1팀장&gt;&quot;금감원이나 검찰이 자산 검수, 안전계좌 송금, 약식 기소 등 자금... ",https://n.news.naver.com/mnews/article/422/0000732596?sid=102,"금융 사기, 금융 사기 범죄, 대출 사기, 보이스피싱, 은행 사기, 카드 사기, 피싱 사기",2025-04-19 09:18:00,2025-04-19 14:55:05,n.news.naver.com
세월 지날수록 더 빛난다…'살아있는 신화' 피터 틸의 '통찰' [&lt;제로 투...,스타트업에 <b>투자</b>자로 참여하는 등 ‘황금 감식안’을 뽐낸 인물. 도널드 트럼프 미국 대통령의 첫 대선... 틸 회장이 페이팔을 운영하던 초기에 신용카드 <b>사기</b>로 매달 1000만달러 이상 손실을 봤다. 자동 소프트웨어로... ,https://n.news.naver.com/mnews/article/015/0005121238?sid=103,"금융 사기, 카드 사기, 투자 사기",2025-04-19 08:01:00,2025-04-19 14:54:15,n.news.naver.com
[오늘의 주요일정]사회(4월19일 토요일),"글로벌골드필드 <b>사기</b>피해자모임, 여의도동 국회 앞, 금융<b>사기</b> 피해자 지원 촉구 ▲오후 1시 자유통일당... 산업<b>은행</b> 측면 편도 전차로, 리바이벌코리아 국가비상기도회 ▲오후 3시 자유대학, 강남대로 신사역 4번 출구... ",https://n.news.naver.com/mnews/article/003/0013193217?sid=102,"금융 사기, 은행 사기",2025-04-19 06:00:00,2025-04-19 14:51:22,n.news.naver.com
&quot;캄보디아 카지노서 일하면 돈 많이 벌어&quot;…취준생 울린 취업 <b>사기</b>의 전...,해외 카지노에 취업해 많은 돈을 벌 수 있다고 피해자를 속이고 <b>범죄</b> 조직에 넘겨 돈을 챙기려 한 일당이... 전화<b>금융사기</b>(보이스피싱) 조직에 넘겨 인건비를 가로채려고 한 혐의로 기소됐다. 이들은 지난해 1월... ,https://n.news.naver.com/mnews/article/011/0004475874?sid=102,"금융 사기, 금융 사기 범죄, 보이스피싱, 피싱 사기",2025-04-19 01:01:00,2025-04-19 14:55:05,n.news.naver.com
"울산원예농협·울산울주경찰서, 보이스<b>피싱</b> 예방 캠페인 펼쳐","<b>사기</b> 예방법 안내, 대포통장 사용의 위험성과 처벌 사례에 대한 상세한 교육이 진행됐다. 특히 울산울주경찰서 박성수 경장이 직접 강사로 나서 실효성을 더했다. 김창균 조합장은 “조합원과 농업인이 보이스<b>피싱</b>... ",https://n.news.naver.com/mnews/article/662/0000066744?sid=102,"금융 사기, 보이스피싱, 피싱 사기",2025-04-18 19:25:00,2025-04-19 14:51:54,n.news.naver.com
"농협은행, ‘장금이 결연’으로 부산 전통시장과 동행","이번 협약을 통해 농협은행은 부전마켓타운과 해운대시장 상인들에게 금융<b>사기</b> 예방교육과 홍보 활동을 펼치고, 보이스<b>피싱</b> 보상보험(보장한도 1000만원)을 무료로 가입해준다. 협약식 종료 후 부전마켓타운 시장 상인과... ",https://n.news.naver.com/mnews/article/662/0000066738?sid=101,"금융 사기, 보이스피싱, 은행 사기, 피싱 사기",2025-04-18 19:00:00,2025-04-19 14:51:54,n.news.naver.com
"범서농협, 대의원 교육 실시","또 최근 급증하고 있는 금융<b>사기</b>예방을 위한 보이스<b>피싱</b> 예방교육도 함께 실시해 대의원들의 경각심을 높이고, 조합원들에게도 올바른 금융정보를 전달할 수 있도록 했다. 김숙희 조합장은 “앞으로도 대의원들과 함께... ",https://n.news.naver.com/mnews/article/662/0000066737?sid=102,"금융 사기, 보이스피싱, 피싱 사기",2025-04-18 18:59:00,2025-04-19 14:51:54,n.news.naver.com
"대정농협, 보이스<b>피싱</b> 피해예방 교육",제주 서귀포 대정농협(조합장 강성방)이 16일 농협 본점에서 ‘전기통신금융<b>사기</b>(보이스<b>피싱</b>) 피해예방 교육’을 진행했다(사진). 교육은 농협 농업대학 수강생 40여명을 대상으로 이뤄졌다. 이들은 최근 보이스<b>피싱</b>... ,https://n.news.naver.com/mnews/article/662/0000066724?sid=102,"금융 사기, 보이스피싱, 피싱 사기",2025-04-18 18:21:00,2025-04-19 14:51:54,n.news.naver.com
"표선농협, 보이스<b>피싱</b> 예방 캠페인",제주 서귀포 표선농협(조합장 김용우)이 17일 농협 본점과 표선오일시장 일대에서 ‘전기통신금융<b>사기</b>(보이스<b>피싱</b>) 피해 예방 캠페인’을 전개했다(사진). 농협 임직원은 이날 지역민에게 보이스<b>피싱</b> 예방 안내장을... ,https://n.news.naver.com/mnews/article/662/0000066714?sid=102,"금융 사기, 보이스피싱, 피싱 사기",2025-04-18 18:09:00,2025-04-19 14:51:54,n.news.naver.com
[북스&amp;]CIA도 <b>투자</b>한 '제2 테슬라'…팔란티어 혁신 전략을 보다,테슬라는 서학개미(해외 증시에 <b>투자</b>하는 국내 개인 <b>투자</b>자)가 올해 들어서도 가장 많이 매수한 종목 중... 피터 틸은 데이터 기반 금융 <b>사기</b> 대응 경험을 바탕으로 정부도 테러리스트를 상대로 이러한 데이터 분석이... ,https://n.news.naver.com/mnews/article/011/0004475803?sid=103,"금융 사기, 투자 사기",2025-04-18 17:50:00,2025-04-19 14:54:15,n.news.naver.com
